anio,semana,temp_media,temp_max,temp_min,temp_rango,temp_superficie,precipitacion_mm,humedad_media,humedad_especifica,radiacion_solar,radiacion_onda_larga,viento_medio,viento_max,presion,humedad_suelo,evapotranspiracion,punto_rocio,precipitacion_acum,provincia
2018,34,6.47,13.427142857142856,1.0385714285714287,12.388571428571428,6.161428571428571,0.19,77.98142857142857,4.652857142857143,15.152857142857142,23.084285714285716,2.9214285714285713,4.7299999999999995,100.87142857142858,0.8714285714285713,0.7614285714285715,2.512857142857143,0.19,Buenos Aires
2018,35,8.892857142857142,15.754285714285714,3.2642857142857147,12.49,8.905714285714286,0.1,80.57285714285715,5.744285714285715,15.052857142857144,25.33285714285714,2.7885714285714287,4.567142857142857,100.70285714285714,0.8471428571428571,1.197142857142857,5.434285714285714,0.1,Buenos Aires
2018,36,11.652857142857142,18.844285714285714,5.61,13.234285714285715,11.367142857142856,10.870000000000001,77.41571428571429,6.4871428571428575,15.194285714285714,26.884285714285713,2.531428571428571,3.8000000000000003,100.74857142857142,0.8228571428571428,2.355714285714286,7.424285714285714,10.870000000000001,Buenos Aires
2018,37,13.447142857142856,18.975714285714286,8.78,10.195714285714287,13.602857142857143,16.72,86.76857142857143,8.391428571428571,10.905714285714286,30.35571428571429,1.8728571428571428,2.962857142857143,100.60857142857142,0.8185714285714285,1.8985714285714284,11.282857142857143,16.72,Buenos Aires
2018,38,14.581428571428571,21.541428571428575,8.661428571428571,12.879999999999999,14.225714285714286,20.21,76.95428571428572,8.062857142857142,16.467142857142857,28.56714285714286,2.5171428571428573,4.322857142857143,99.73857142857143,0.8214285714285714,3.224285714285714,10.225714285714286,20.21,Buenos Aires
2018,39,13.637142857142859,19.514285714285712,7.784285714285715,11.73,13.290000000000001,93.86999999999999,77.0442857142857,7.515714285714286,13.688571428571427,28.365714285714287,3.0914285714285716,5.057142857142857,100.07714285714285,0.8142857142857143,2.7542857142857144,9.245714285714286,93.86999999999999,Buenos Aires
2018,40,11.372857142857143,19.104285714285712,4.147142857142858,14.957142857142856,11.342857142857143,0.04,71.24,5.905714285714287,23.858571428571427,24.771428571428572,2.455714285714286,4.421428571428572,100.53571428571429,0.8228571428571428,4.297142857142857,5.631428571428572,0.04,Buenos Aires
2018,41,13.10142857142857,20.25857142857143,5.957142857142857,14.301428571428572,13.154285714285715,3.98,70.22285714285714,6.5928571428571425,21.345714285714287,26.78,2.46,4.252857142857143,100.42857142857143,0.7828571428571429,4.747142857142856,7.184285714285714,3.98,Buenos Aires
2018,42,15.504285714285714,21.825714285714287,9.62857142857143,12.197142857142856,15.728571428571428,21.830000000000002,78.57857142857142,8.558571428571428,18.46142857142857,29.38714285714286,2.6785714285714284,4.251428571428571,100.29285714285713,0.7585714285714287,3.7657142857142856,11.414285714285715,21.830000000000002,Buenos Aires
2018,43,13.872857142857143,19.947142857142858,8.44142857142857,11.505714285714287,14.51,2.33,77.50571428571428,7.522857142857143,19.134285714285713,29.495714285714286,2.1028571428571428,3.1557142857142857,100.63,0.7385714285714285,2.775714285714286,9.58,2.33,Buenos Aires
