id_depto_indec_residencia;departamento_residencia;id_prov_indec_residencia;provincia_residencia;anio_min;evento;id_grupo_etario;grupo_etario;sepi_min;cantidad
161;Tercero Arriba;14;Córdoba;2023;Dengue;11;De 45 a 65 años;16;1
021;Chicligasta;90;Tucumán;2023;Dengue;10;De 35 a 44 años;16;13
021;Colón;14;Córdoba;2023;Dengue;5;De 5 a 9 años;16;2
035;Avellaneda;06;Buenos Aires;2023;Dengue;8;De 20 a 24 años;16;2
036;12 de Octubre;22;Chaco;2023;Dengue;10;De 35 a 44 años;16;5
070;Las Colonias;82;Santa Fe;2023;Dengue;8;De 20 a 24 años;16;1
105;Mercedes;18;Corrientes;2023;Dengue;8;De 20 a 24 años;16;1
084;Capital;90;Tucumán;2023;Dengue;3;De 13 a 24 meses;16;4
091;Berazategui;06;Buenos Aires;2023;Dengue;10;De 35 a 44 años;16;13
112;O'Higgins;22;Chaco;2023;Dengue;7;De 15 a 19 años;16;4
112;O'Higgins;22;Chaco;2023;Dengue;10;De 35 a 44 años;16;3
077;Río Chico;90;Tucumán;2023;Dengue;7;De 15 a 19 años;16;7
084;Paraná;30;Entre Ríos;2023;Dengue;8;De 20 a 24 años;16;8
014;Caseros;82;Santa Fe;2023;Dengue;8;De 20 a 24 años;16;3
002;COMUNA 2;02;CABA;2023;Dengue;7;De 15 a 19 años;16;1
049;General Obligado;82;Santa Fe;2023;Dengue;2;Posneonato (29 hasta 365 días);16;2
147;San Lorenzo;22;Chaco;2023;Dengue;8;De 20 a 24 años;16;2
133;Quitilipi;22;Chaco;2023;Dengue;7;De 15 a 19 años;16;3
021;Capital;18;Corrientes;2023;Dengue;9;De 25 a 34 años;16;10
056;El Alto;10;Catamarca;2023;Dengue;7;De 15 a 19 años;16;3
009;COMUNA 9;02;CABA;2023;Dengue;12;Mayores de 65 años;16;16
760;San Miguel;06;Buenos Aires;2023;Dengue;9;De 25 a 34 años;16;2
070;La Paz;10;Catamarca;2023;Dengue;12;Mayores de 65 años;16;3
021;Colón;14;Córdoba;2023;Dengue;12;Mayores de 65 años;16;1
056;Leales;90;Tucumán;2023;Dengue;10;De 35 a 44 años;16;10
049;General Obligado;82;Santa Fe;2023;Dengue;9;De 25 a 34 años;16;206
999;desconocido;99;desconocida;2023;Dengue;11;De 45 a 65 años;16;6
084;Ituzaingó;18;Corrientes;2023;Dengue;8;De 20 a 24 años;16;1
126;Orán;66;Salta;2023;Dengue;7;De 15 a 19 años;16;23
756;San Isidro;06;Buenos Aires;2023;Dengue;12;Mayores de 65 años;16;4
021;Capital;18;Corrientes;2023;Dengue;10;De 35 a 44 años;16;13
028;Federación;30;Entre Ríos;2023;Dengue;10;De 35 a 44 años;16;1
035;Curuzú Cuatiá;18;Corrientes;2023;Dengue;10;De 35 a 44 años;16;3
035;Banda;86;Santiago del Estero;2023;Dengue;10;De 35 a 44 años;16;39
063;San Pedro;38;Jujuy;2023;Dengue;8;De 20 a 24 años;16;14
056;El Alto;10;Catamarca;2023;Dengue;12;Mayores de 65 años;16;1
515;Malvinas Argentinas;06;Buenos Aires;2023;Dengue;10;De 35 a 44 años;16;6
007;Anta;66;Salta;2023;Dengue;2;Posneonato (29 hasta 365 días);16;2
021;Atamisqui;86;Santiago del Estero;2023;Dengue;7;De 15 a 19 años;16;1
126;Saladas;18;Corrientes;2023;Dengue;11;De 45 a 65 años;16;3
049;Las Heras;50;Mendoza;2023;Dengue;9;De 25 a 34 años;16;1
049;Capital;86;Santiago del Estero;2023;Dengue;7;De 15 a 19 años;16;109
826;Trenque Lauquen;06;Buenos Aires;2023;Dengue;10;De 35 a 44 años;16;2
042;General López;82;Santa Fe;2023;Dengue;9;De 25 a 34 años;16;1
010;COMUNA 10;02;CABA;2023;Dengue;6;De 10 a 14 años;16;9
028;Almirante Brown;06;Buenos Aires;2023;Dengue;9;De 25 a 34 años;16;9
119;Río Segundo;14;Córdoba;2023;Dengue;9;De 25 a 34 años;16;6
133;Pellegrini;86;Santiago del Estero;2023;Dengue;9;De 25 a 34 años;16;1
028;Capital;66;Salta;2023;Dengue;5;De 5 a 9 años;16;6
028;Chacabuco;22;Chaco;2023;Dengue;10;De 35 a 44 años;16;9
749;San Fernando;06;Buenos Aires;2023;Dengue;6;De 10 a 14 años;16;1
126;Orán;66;Salta;2023;Dengue;11;De 45 a 65 años;16;56
056;Leales;90;Tucumán;2023;Dengue;9;De 25 a 34 años;16;14
014;Cruz Alta;90;Tucumán;2023;Dengue;5;De 5 a 9 años;16;8
274;Florencio Varela;06;Buenos Aires;2023;Dengue;11;De 45 a 65 años;16;9
434;Lanús;06;Buenos Aires;2023;Dengue;6;De 10 a 14 años;16;2
756;San Isidro;06;Buenos Aires;2023;Dengue;11;De 45 a 65 años;16;7
140;Rosario de la Frontera;66;Salta;2023;Dengue;7;De 15 a 19 años;16;7
999;desconocido;14;Córdoba;2023;Dengue;9;De 25 a 34 años;16;2
098;Mayor Luis J. Fontana;22;Chaco;2023;Dengue;11;De 45 a 65 años;16;9
